Syringe,Needle,fill_0.2,fill_0.4,fill_0.6,fill_0.8,fill_1
20RW,Min,4648.5,2304.135,1617.55,1217.675,1001
20TW,Min,7023,3480.82,2443.45,1839.325,1511.9
21RW,Min,2402.5,1191,836.225,629.675,517.675
21TW,Min,4257.5,2110.225,1481.45,1115.325,916.8
22RW,Min,959.75,476.045,334.45,252,207.35
22TW,Min,2165.5,1073.595,753.8,567.675,466.675
22XTW,Min,3549.75,1759.595,1235.35,930,764.575
23RW,Min,406.5,202,142.125,107.225,88.325
23TW,Min,1232,611,429.225,323.325,265.9
24RW,Min,291.5,145,102.125,77.125,63.55
24TW,Min,552.75,274.36,192.9,145.45,119.775
25UTW,Min,924.25,458.45,322.125,242.675,199.675
25RW,Min,136.5,68.045,48.125,36.45,30.125
25TW,Min,291.5,145,102.125,77.125,63.55
26RW,Min,136.5,68.045,48.125,36.45,30.125
27RW,Min,53.75,27.125,19.35,14.8,12.35
27TW,Min,136.5,68.125,48.125,36.45,30.125
27XTW,Min,203,101.125,71.225,53.9,44.45
28RW,Min,30.75,15.775,11.35,8.8,7.45
28TW,Min,87.75,44,31.225,23.775,19.675
29RW,Min,30.75,15.775,11.35,8.8,7.45
29TW,Min,53.75,27.125,19.35,14.8,12.35
30RW,Min,16.25,8.575,6.35,5,4.35
31RW,Min,8,4.45,3.45,2.8,2.55
20RW,Max,5984.775,2966.375,2082.5,1567.5,1288.65
20TW,Max,8827.05,4374.775,3070.9,2311.6,1900
21RW,Max,3230.9,1601.575,1124.55,846.575,696.15
21TW,Max,5511.15,2731.6,1917.5,1443.65,1186.575
22RW,Max,1388.175,688.4,483.65,364.325,299.55
22TW,Max,2934.075,1454.55,1021.375,768.85,632.275
22XTW,Max,4648.65,2304.075,1617.5,1217.725,1001.15
23RW,Max,639.1,317.275,222.95,168.175,138.4
23TW,Max,1744.55,865,607.5,457.5,376.125
24RW,Max,475.45,236.125,166.15,125.225,103.175
24TW,Max,841.825,417.725,293.65,221.125,182.05
25UTW,Max,1128.65,559.775,393.175,296.375,243.625
25RW,Max,244.325,121.6,85.675,64.775,53.4
25TW,Max,475.45,236.125,166.15,125.225,103.175
26RW,Max,244.325,121.6,85.675,64.775,53.4
27RW,Max,110,55,39.1,29.525,24.55
27TW,Max,244.325,121.6,85.675,64.775,53.4
27XTW,Max,345.45,171.825,120.9,91.375,75.225
28RW,Max,69.075,34.775,24.775,18.85,15.675
28TW,Max,167.275,83.4,58.85,44.55,36.825
29RW,Max,69.075,34.775,24.775,18.85,15.675
29TW,Max,110,55,39.1,29.525,24.55
30RW,Max,40.9,20.9,15,11.6,9.775
31RW,Max,22.725,11.825,8.65,6.825,5.675
20RW,Nominal,5329.775,2641.825,1854.55,1396.15,1147.725
20TW,Nominal,7946.575,3938.65,2764.775,2081.125,1710.675
21RW,Nominal,2821.375,1398.625,982.05,739.3,607.95
21TW,Nominal,4895.675,2426.825,1703.65,1282.5,1054.325
22RW,Nominal,1173.4,582.05,408.85,307.95,253.425
22TW,Nominal,2553.65,1265.9,888.85,669.325,550.225
22XTW,Nominal,4895.675,2426.825,1703.65,1282.5,1054.325
23RW,Nominal,520.675,258.625,181.825,137.275,112.95
23TW,Nominal,1488.625,738.425,518.65,390.45,321.125
24RW,Nominal,381.125,189.55,133.425,100.675,82.95
24TW,Nominal,695.7,345.225,242.725,182.95,150.45
25UTW,Nominal,1022.5,507.275,356.35,268.4,220.9
25RW,Nominal,187.95,93.875,66.125,50,41.375
25TW,Nominal,381.125,189.55,133.425,100.675,82.95
26RW,Nominal,187.95,93.875,66.125,50,41.375
27RW,Nominal,80,40.225,28.65,21.825,18.2
27TW,Nominal,187.95,93.875,66.125,50,41.375
27XTW,Nominal,271.8,135.225,95.225,72.05,59.3
28RW,Nominal,48.175,24.55,17.5,13.4,11.375
28TW,Nominal,125.475,62.725,44.325,33.625,27.975
29RW,Nominal,48.175,24.55,17.5,13.4,11.375
29TW,Nominal,80,40.225,28.65,21.825,18.2
30RW,Nominal,27.275,14.1,10.225,7.95,6.825
31RW,Nominal,14.325,7.5,5.675,4.55,3.85
